reference_joconde,titre_joconde,artiste,musee,numero_inventaire,numero_planche,etat,fichier,licence,credit,auteur_image,source,raisons
M0537053037,LE ROI DAGOBERT. N°.939. (titre inscrit),charles-francois-pinot,musée de l'image,2010.5.13572 B,939,refusee,,,,,Wikimedia Commons,"le fichier ne montre qu'une case découpée, pas la feuille (contrôle visuel)"
M0537021306,LA MARSEILLAISE / Hymne patriotique. N°.921. (titre inscrit),charles-francois-pinot,musée de l'image,990.2.529 B ; W 105.3.1/105,921,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537028664,LE CHAT DE LA MERE MICHEL. N° 923 (titre inscrit),charles-francois-pinot,musée de l'image,990.2.522 B ; W 105.3.1/98,923,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537003532,SIÈGE ET BOMBARDEMENT DE STRASBOURG. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.3441 B,137,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537006003,HISTOIRE DE COCO LE SINGE D'AMERIQUE. N°.508. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.5877 B,508,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (508) : l'exemplaire visé serait indéterminé
M0537006049,FLEURETTE ou la Petite Bouquetière des Alpes (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.5923 B,524,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537006004,HISTOIRE DE COCO LE SINGE D'AMERIQUE. (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.5878 B,508,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (508) : l'exemplaire visé serait indéterminé
M0537004028,LES APPOINTEMENTS DE L'EX FAMILLE IMPERIALE / ET DES GROS FONCTIONNAIRES DE L'EMPIRE. N°.655 (titre inscrit),charles-francois-pinot,musée de l'image,D 996.1.3863 B,655,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
02860008252,Métamorphose d'Appulus en olivier sauvage,crispin-de-passe-l-ancien,musée des beaux-arts,2008.0.885,,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre sans numéro de planche : l'exemplaire visé serait indéterminé
02860008252,Métamorphose d'Appulus en olivier sauvage,crispin-de-passe-le-jeune,musée des beaux-arts,2008.0.885,,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre sans numéro de planche : l'exemplaire visé serait indéterminé
5002E001385,CANTIQUES SPIRITUELS. / NOTRE-DAME DE FOURVIERE. (titre inscrit),francois-georgin,musée des civilisations de l'Europe et de la Méditerranée,51.16.17 C,,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537000257,NOTRE-DAME DE BON-SECOURS. (titre inscrit),francois-georgin,musée de l'image,D 996.1.182 B,1883,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (1883) : l'exemplaire visé serait indéterminé
M0537000256,NOTRE-DAME DE BON-SECOURS. (titre inscrit),francois-georgin,musée de l'image,D 996.1.181 B,1883,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (1883) : l'exemplaire visé serait indéterminé
M0537000255,NOTRE-DAME DE BON-SECOURS. N° 1119 (titre inscrit),francois-georgin,musée de l'image,D 996.1.180 B,1119,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537000258,NOTRE-DAME DE BON-SECOURS. (titre inscrit),francois-georgin,musée de l'image,D 996.1.183 B,,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537000254,NOTRE-DAME DE BON-SECOURS. N° 102 (titre inscrit),francois-georgin,musée de l'image,D 996.1.179 A ; 39.2231,102,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537000977,LE COURONNEMENT / DE LA SAINTE VIERGE. (titre inscrit),francois-georgin,musée de l'image,D 996.1.892 C,,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537000292,L'ANGE GARDIEN. N° 25 (titre inscrit),francois-georgin,musée de l'image,D 996.1.217 A,25,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537000287,L'ANGE GARDIEN. 59 (titre inscrit),francois-georgin,musée de l'image,D 996.1.212 B,,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537001059,"JESUS-CHRIST, / ORNE DES QUINZE PRINCIPAUX MYSTERES DE LA RELIGION. (titre inscrit)",francois-georgin,musée de l'image,D 996.1.974 C,,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537001060,"JESUS-CHRIST, / ORNE DES QUINZE PRINCIPAUX MYSTERES DE LA RELIGION. 199 (titre inscrit)",francois-georgin,musée de l'image,D 996.1.975 C,,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre sans numéro de planche : l'exemplaire visé serait indéterminé
M0537001062,"JESUS-CHRIST, / ORNE DES QUINZE PRINCIPAUX MYSTERES DE LA RELIGION. 199 (titre inscrit)",francois-georgin,musée de l'image,D 996.1.977 C,,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre sans numéro de planche : l'exemplaire visé serait indéterminé
M0537001061,"JESUS-CHRIST, / ORNE DES QUINZE PRINCIPAUX MYSTERES DE LA RELIGION. 199 (titre inscrit)",francois-georgin,musée de l'image,D 996.1.976 C,,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre sans numéro de planche : l'exemplaire visé serait indéterminé
M0537003417,BOMBARDEMENT ET PRISE D'ALGER. (titre inscrit),francois-georgin,musée de l'image,D 996.1.3326 C,,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre sans numéro de planche : l'exemplaire visé serait indéterminé
M0537003418,BOMBARDEMENT ET PRISE D'ALGER. (titre inscrit),francois-georgin,musée de l'image,D 996.1.3327 C,,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre sans numéro de planche : l'exemplaire visé serait indéterminé
M0537020875,BOMBARDEMENT ET PRISE D'ALGER. (titre inscrit),francois-georgin,musée de l'image,990.2.54 C ; 105.5.2/26,,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre sans numéro de planche : l'exemplaire visé serait indéterminé
M0537047452,DESCENTE DE LA CROIX (titre inscrit),francois-georgin,musée de l'image,2010.5.8056 C,,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537034879,HISTOIRE DES QUATRE FILS AYMON. 2.e pl.(titre inscrit),francois-georgin,musée de l'image,2010.5.4575 B,,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537040328,"FABLES DE LA FONTAINE. (titre inscrit, fr., all.)",francois-georgin,musée de l'image,2010.5.6425 B,419,refusee,,,,,Wikimedia Commons,"le fichier ne montre qu'une fable, quand la notice décrit une feuille qui en réunit douze (contrôle visuel)"
M0537040309,CROQUEMITAINE. / 403 (titre inscrit),francois-georgin,musée de l'image,2010.5.6412 B,403,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537040571,LES CATASTROPHES ET LA FIN TRAGIQUE DU PETIT TOUCHE-A-TOUT. (titre inscrit),francois-georgin,musée de l'image,2010.5.6558 B,543,candidate,File:Les catastrophes et la fin tragique du petit Touche-à-tout - histoire enfantine - estampe - btv1b69380947.jpg,Public domain,Bibliothèque nationale de France,,Wikimedia Commons,titre retrouvé dans « Les catastrophes et la fin tragique du petit Touche-à-tout - histoire enfan » ; le fichier ne porte aucun numéro de planche
M0537047043,GLOIRE NATIONALE / BERTRAND. (titre inscrit),francois-georgin,musée de l'image,2010.5.7675 C,,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre sans numéro de planche : l'exemplaire visé serait indéterminé
M0537034884,PRISE D'ALEXANDRIE. (titre inscrit),francois-georgin,musée de l'image,2010.5.4580 C,,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre sans numéro de planche : l'exemplaire visé serait indéterminé
M0537040272,"SALTIMBANQUES ET CHARLATANS. (titre inscrit, fr., all.)",francois-georgin,musée de l'image,2010.5.6395 B,,refusee,,,,,Wikimedia Commons,la feuille numérisée compte quatre colonnes et porte une autre adresse d'imprimeur : c'est une autre édition (contrôle visuel)
M0537021010,BATAILLE DE WATERLOO. (titre inscrit),francois-georgin,musée de l'image,990.2.155 C ; 105.5.2/127,,candidate,File:Bataille de Waterloo - estampe - btv1b55001980r.jpg,Public domain,Bibliothèque nationale de France,,Wikimedia Commons,titre retrouvé dans « Bataille de Waterloo - estampe - btv1b55001980r.jpg » ; aucun numéro de part ni d'autre : titre seul
M0537008042,CROQUEMITAINE. (titre inscrit),francois-georgin,musée de l'image,D 996.1.7943 B,,refusee,,,,,Wikimedia Commons,titre trop court ou trop commun pour être probant
M0537007752,LE MOULIN MERVEILLEUX. (titre inscrit),francois-georgin,musée de l'image,D 996.1.7642 C,,candidate,File:Le moulin merveilleux - (estampe) (Tirage 1876) - btv1b69379355.jpg,Public domain,Bibliothèque nationale de France,,Wikimedia Commons,titre retrouvé dans « Le moulin merveilleux - (estampe) (Tirage 1876) - btv1b69379355.jpg » ; aucun numéro de part ni d'autre : titre seul
M0537003354,BATAILLE DE FLEURUS. (titre inscrit),francois-georgin,musée de l'image,D 996.1.3264 C,,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537007836,LE MONDE RENVERSÉ. (IIe Planche.) (titre inscrit),francois-georgin,musée de l'image,D 996.1.7727 B,,candidate,File:Le monde renversé (IIe planche) - estampe - btv1b550019996.jpg,Public domain,Bibliothèque nationale de France,,Wikimedia Commons,titre retrouvé dans « Le monde renversé (IIe planche) - estampe - btv1b550019996.jpg » ; aucun numéro de part ni d'autre : titre seul
M0537003401,ENTRÉE DES FRANÇAIS A ANVERS EN 1831 (titre inscrit),francois-georgin,musée de l'image,D 996.1.3310 C,,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537003399,ENTRÉE DES FRANÇAIS EN BELGIQUE. (titre inscrit),francois-georgin,musée de l'image,D 996.1.3308 C,,candidate,File:Entrée des Français en Belgique - estampe - btv1b550020223.jpg,Public domain,Bibliothèque nationale de France,,Wikimedia Commons,titre retrouvé dans « Entrée des Français en Belgique - estampe - btv1b550020223.jpg » ; aucun numéro de part ni d'autre : titre seul
M0537047044,GLOIRE NATIONALE / DAMRÉMONT. (titre inscrit),francois-georgin,musée de l'image,2010.5.7676 C,,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537035826,LA FÊTE DE VILLAGE. / N°. 5 (titre inscrit),francois-georgin,musée de l'image,2010.5.3893 B,527,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537003780,VEILLE D'AUSTERLITZ. (titre inscrit),francois-georgin,musée de l'image,D 996.1.3628 C,,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre sans numéro de planche : l'exemplaire visé serait indéterminé
M0537003761,PRISE D'ALEXANDRIE. (titre inscrit),francois-georgin,musée de l'image,D 996.1.3609 C,,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre sans numéro de planche : l'exemplaire visé serait indéterminé
M0537003781,VEILLE D'AUSTERLITZ. (titre inscrit),francois-georgin,musée de l'image,D 996.1.3629 C,,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre sans numéro de planche : l'exemplaire visé serait indéterminé
M0537017721,VEILLE D'AUSTERLITZ. (titre inscrit),francois-georgin,musée de l'image,990.1.2729 C ; Inv 94-XIC-4,,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre sans numéro de planche : l'exemplaire visé serait indéterminé
M0537039802,"DONNERA-T-ON QUELQUE CHOSE A CRÉDIT ? / QUAND LE COQ CHANTERA, CRÉDIT ON DONNERA. (titre inscrit)",francois-georgin,musée de l'image,2010.5.6038 B,,exacte,"File:Donnera-t-on quelque chose à crédit Quand le coq chantera, crédit on donnera - estampe - G. F. (François Georgin) - btv1b55001802z.jpg",Public domain,Bibliothèque nationale de France,"Georgin, François (1801-1863). Dessinateur de l'oeuvre reproduite",Wikimedia Commons,image regardée et confirmée à l'œil
M0537003810,NAPOLÉON A MONTEREAU. (titre inscrit),francois-georgin,musée de l'image,D 996.1.3658 C,,candidate,File:Napoléon à Montereau - estampe - btv1b55001996v.jpg,Public domain,Bibliothèque nationale de France,,Wikimedia Commons,titre retrouvé dans « Napoléon à Montereau - estampe - btv1b55001996v.jpg » ; aucun numéro de part ni d'autre : titre seul
M0537035976,CANTIQUES SPIRITUELS. / JÉSUS SUR LA CROIX. (titre inscrit),francois-georgin,musée de l'image,2010.5.3913 B,,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537003347,GLOIRE NATIONALE. / NAPOLEON. (titre inscrit),francois-georgin,musée de l'image,D 996.1.3257 C,,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537003732,GLOIRE NATIONALE / BERTRAND. (titre inscrit),francois-georgin,musée de l'image,D 996.1.3585.25 C,,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre sans numéro de planche : l'exemplaire visé serait indéterminé
M0537003408,MACHINE INFERNALE : ATTENTAT du 28 juillet 1835. (titre inscrit),francois-georgin,musée de l'image,D 996.1.3317 C,,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537002244,FUSILIERS MARINS au Combat (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.2156 B,179,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (179) : l'exemplaire visé serait indéterminé
M0537002212,INFANTERIE FRANÇAISE AU COMBAT (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.2124 B,151,refusee,,,,,Wikimedia Commons,le musée conserve 5 notices de ce titre et de ce numéro (151) : l'exemplaire visé serait indéterminé
M0537002556,INFANTERIE à l'EXERCICE en FRANCE / LES ÉTATS-UNIS / D'AMÉRIQUE / dans la Guerre (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.2468 B,771,refusee,,,,,Wikimedia Commons,le musée conserve 7 notices de ce titre et de ce numéro (771) : l'exemplaire visé serait indéterminé
M0537002149,INFANTERIE de LIGNE / TENUE DE GUERRE / AVANT LE CASQUE ET LES BANDES MOLLETIÈRES (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.2061 B,81,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537002148,ARTILLERIE FRANÇAISE / ancienne tenue et tenue de guerre / PIÈCES DE 90 DE CAMPAGNE / ARTILLERIE LOURDE / CANON / DE 120 LONG  (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.2060 B,80,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (80) : l'exemplaire visé serait indéterminé
M0537002450,INFANTERIE ÉCOSSAISE / - HIGHLANDERS - AU COMBAT (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.2362 B,593,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (593) : l'exemplaire visé serait indéterminé
M0537004387,EN PLEIN FEU = INFANTERIE FRANÇAISE / DANS LES TRANCHÉES ET A L'ASSAUT (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.4235 B,2036,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (2036) : l'exemplaire visé serait indéterminé
M0537002557,LES ÉTATS-UNIS d'AMÉRIQUE / EN GUERRE AUX COTÉS DES ALLIÉS (1917) (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.2469 B,775,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (775) : l'exemplaire visé serait indéterminé
M0537002216,ZOUAVES A LA REVUE / TENUE DE GUERRE / AVEC CAPOTE (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.2128 B,157,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (157) : l'exemplaire visé serait indéterminé
M0537002593,INFANTERIE ROUMAINE / TENUE DE CAMPAGNE (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.2505 B,850,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (850) : l'exemplaire visé serait indéterminé
M0537002555,TYPES des PREMIERS CONTINGENTS / D'INFANTERIE / ARRIVÉS EN FRANCE en 1917 (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.2467 B,770,refusee,,,,,Wikimedia Commons,le musée conserve 5 notices de ce titre et de ce numéro (770) : l'exemplaire visé serait indéterminé
M0537002215,ZOUAVES A LA REVUE / TENUE DE GUERRE / SANS CAPOTE (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.2127 B,156,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (156) : l'exemplaire visé serait indéterminé
M0537004404,EN / PLEIN FEU : INFANTERIE ANGLAISE & ÉCOSSAISE / DANS LES TRANCHÉES / ET A L'ASSAUT (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.4252 B,2047,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (2047) : l'exemplaire visé serait indéterminé
M0537004392,ARTILLERIE ALPINE EN ACTION (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.4240 B,2038,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (2038) : l'exemplaire visé serait indéterminé
M0537004407,INFANTERIE RUSSE / AU COMBAT / TENUE DE CAMPAGNE D'ÉTÉ (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.4255 B,2049,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (2049) : l'exemplaire visé serait indéterminé
M0537004391,INFANTERIE FRANÇAISE / LES HÉROS DES TRANCHÉES / ET CEUX QUI LES SECONDENT (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.4239 B,2037,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (2037) : l'exemplaire visé serait indéterminé
M0537003874,Les POSTES de SECOURS (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.3709 B,82,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537004408,INFANTERIE RUSSE / AU COMBAT / TENUE DE CAMPAGNE D'ÉTÉ (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.4256 B,2049,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (2049) : l'exemplaire visé serait indéterminé
M0537004397,UN POSTE DE SECOURS SUR LE FRONT FRANÇAIS (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.4245 B,2039,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (2039) : l'exemplaire visé serait indéterminé
M0537004388,EN PLEIN FEU = INFANTERIE FRANÇAISE / DANS LES TRANCHÉES ET A L'ASSAUT (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.4236 B,2036,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (2036) : l'exemplaire visé serait indéterminé
M0537004400,UHLANS ALLEMANDS (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.4248 B,2043,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537004405,ARTILLERIE ANGLAISE (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.4253 B,2048,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (2048) : l'exemplaire visé serait indéterminé
M0537004402,FANTASSINS ANGLAIS & ÉCOSSAIS au Combat (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.4250 B,2047,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (2047) : l'exemplaire visé serait indéterminé
M0537004410,INFANTERIE ROUMAINE / EN CAMPAGNE (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.4258 B,2055,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537004399,ARTILLERIE ALLEMANDE (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.4247 B,2042,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537004390,INFANTERIE FRANÇAISE / LES HÉROS DES TRANCHÉES / ET CEUX QUI LES SECONDENT (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.4238 B,2037,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (2037) : l'exemplaire visé serait indéterminé
M0537004396,UN POSTE DE SECOURS SUR LE FRONT FRANÇAIS (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.4244 B,2039,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (2039) : l'exemplaire visé serait indéterminé
M0537004406,ARTILLERIE ANGLAISE (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.4254 B,2048,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (2048) : l'exemplaire visé serait indéterminé
M0537004409,INFANTERIE BELGE AU COMBAT / ANCIENNES TENUES / ET NOUVELLE (KAKI) (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.4257 B,2050,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537004395,EN PLEIN FEU / NOS MAGNIFIQUES HÉROS / LES FUSILIERS MARINS / aux luttes épiques de l'Yser (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.4243 B,2038,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (2038) : l'exemplaire visé serait indéterminé
M0537016775,INFANTERIE à l'EXERCICE en FRANCE / LES ÉTATS-UNIS / D'AMÉRIQUE / dans la Guerre (titre inscrit),georges-ferdinand-bigot,musée de l'image,2005.8.11 B,771,refusee,,,,,Wikimedia Commons,le musée conserve 7 notices de ce titre et de ce numéro (771) : l'exemplaire visé serait indéterminé
M0537004394,ARTILLERIE FRANCAISE / ANCIENNE / ET NOUVELLE / TENUE (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.4242 B,2038,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (2038) : l'exemplaire visé serait indéterminé
M0537004393,ARTILLERIE FRANÇAISE / ANCIENNE / ET NOUVELLE / TENUE (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.4241 B,2038,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (2038) : l'exemplaire visé serait indéterminé
M0537031927,INFANTERIE FRANÇAISE AU COMBAT (titre inscrit),georges-ferdinand-bigot,musée de l'image,2010.5.209 B,151,refusee,,,,,Wikimedia Commons,le musée conserve 5 notices de ce titre et de ce numéro (151) : l'exemplaire visé serait indéterminé
M0537004403,EN / PLEIN FEU : INFANTERIE ANGLAISE & ÉCOSSAISE / DANS LES TRANCHÉES / ET A L'ASSAUT (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.4251 B,2047,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (2047) : l'exemplaire visé serait indéterminé
M0537032021,FUSILIERS MARINS au Combat (titre inscrit),georges-ferdinand-bigot,musée de l'image,2010.5.252 B,179,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (179) : l'exemplaire visé serait indéterminé
M0537031953,ZOUAVES TENUE DE GUERRE Avec et Sans Capote  AU DEFILE (titre inscrit),georges-ferdinand-bigot,musée de l'image,2010.5.219 B,158,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537032142,ZOUAVES TENUE DE GUERRE En Marche et Chargeant (titre inscrit),georges-ferdinand-bigot,musée de l'image,2010.5.307 B,212,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (212) : l'exemplaire visé serait indéterminé
M0537032020,INFANTERIE A L'ATTAQUE (titre inscrit),georges-ferdinand-bigot,musée de l'image,2010.5.251 B,177,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (177) : l'exemplaire visé serait indéterminé
M0537022590,TYPES des PREMIERS CONTINGENTS / D'INFANTERIE / ARRIVÉS EN FRANCE en 1917 (titre inscrit),georges-ferdinand-bigot,musée de l'image,2006.16.95 B,770,refusee,,,,,Wikimedia Commons,le musée conserve 5 notices de ce titre et de ce numéro (770) : l'exemplaire visé serait indéterminé
M0537004386,INFANTERIE FRANCAISE AVEC CASQUES / & ENGINS DE TRANCHÉES (titre inscrit),georges-ferdinand-bigot,musée de l'image,D 996.1.4234 B,2036,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (2036) : l'exemplaire visé serait indéterminé
M0537038765,LES ÉTATS-UNIS d'AMÉRIQUE / EN GUERRE AUX COTÉS DES ALLIÉS (1917) (titre inscrit),georges-ferdinand-bigot,musée de l'image,2010.5.5259 B,775,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (775) : l'exemplaire visé serait indéterminé
M0537032144,EN TIRAILLEURS : Sur le terrain et dans les Tranchées (titre inscrit),georges-ferdinand-bigot,musée de l'image,2010.5.309 B,213,refusee,,,,,Wikimedia Commons,le musée conserve 2 notices de ce titre et de ce numéro (213) : l'exemplaire visé serait indéterminé
M0537029852,ARTILLERIE FRANÇAISE / ancienne tenue et tenue de guerre / PIÈCES DE 90 DE CAMPAGNE / ARTILLERIE LOURDE / CANON / DE 120 LONG  (titre inscrit),georges-ferdinand-bigot,musée de l'image,2010.5.93 B,80,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (80) : l'exemplaire visé serait indéterminé
M0537032019,INFANTERIE A L'ATTAQUE (titre inscrit),georges-ferdinand-bigot,musée de l'image,2010.5.250 B,177,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (177) : l'exemplaire visé serait indéterminé
M0537022580,INFANTERIE ITALIENNE Stationnant / et en marche (titre inscrit),georges-ferdinand-bigot,musée de l'image,2006.16.85 B,566,refusee,,,,,Wikimedia Commons,le musée conserve 5 notices de ce titre et de ce numéro (566) : l'exemplaire visé serait indéterminé
M0537031960,ZOUAVES - TENUE DE GUERRE avec et sans capote - CHARGEANT (titre inscrit),georges-ferdinand-bigot,musée de l'image,2010.5.220 B,159,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537029789,INFANTERIE A L'ATTAQUE (titre inscrit),georges-ferdinand-bigot,musée de l'image,2010.5.35 B,17,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537032127,LES 'DIABLES BLEUS' Chasseurs et Artilleurs ALPINS (titre inscrit),georges-ferdinand-bigot,musée de l'image,2010.5.304 B,210,introuvable,,,,,Wikimedia Commons,aucun fichier du fonds ne porte ce titre
M0537022527,ZOUAVES A LA REVUE / TENUE DE GUERRE / AVEC CAPOTE (titre inscrit),georges-ferdinand-bigot,musée de l'image,2006.16.33 B,157,refusee,,,,,Wikimedia Commons,le musée conserve 3 notices de ce titre et de ce numéro (157) : l'exemplaire visé serait indéterminé
