nom|notices_prudentes|musees|graphies|deja_retenu|exemple_reference|exemple_mention|statut|rattachement_ou_motif
ROOS PHILIPP PETER|12|8|1||000PE014510|ROOS Philipp Peter (attribué à)|à instruire|
ROUSSEAU THEODORE|12|4|1||000PE016328|ROUSSEAU Théodore (attribué)|à instruire|
DIAZ DE LA PENA NARCISSE|12|8|1||000PE016163|DIAZ DE LA PENA Narcisse (attribué)|à instruire|
JORDAENS JACOB|12|8|1||000PE016872|JORDAENS Jacob (atelier)|à instruire|
BRUEGHEL PIETER I|12|2|1||000PE016606|BRUEGHEL Pieter I (?)|à instruire|
SANTI RAFFAELLO|12|4|1|Raphaël|000PE026982|SANTI Raffaello (atelier)|retenu|Raphaël
DUQUESNOY FRANCOIS|12|3|1||000SC003063|DUQUESNOY François (attribué)|à instruire|
FULDA|12|1|1||50350500142|ECOLE DE FULDA|écarté|entité non personnelle
ASPRUCK FRANZ|12|1|1||50350109154|ASPRUCK Franz (attribué à)|à instruire|
COECKE VAN AELST PIETER|12|7|1||50350109329|COECKE VAN AELST Pieter (attribué à)|à instruire|
GOLTZIUS HENDRICK|12|3|1||10480004058|GOLTZIUS Hendrick (atelier)|à instruire|
DEVELLY JEAN-CHARLES|12|2|1||50170000217|DEVELLY Jean-Charles (attribué à)|à instruire|
B|12|1|1||5002P000168|B (atelier)|écarté|mention sans nom d'auteur
BADALOCCHIO SISTO|12|2|1||50350500891|BADALOCCHIO Sisto (attribué à)|à instruire|
SCHOLL OTHON|12|1|1||00160017412|SCHOLL Othon (attribué à)|à instruire|
TISSAGE DE LYON|12|1|1||10230011858|ECOLE DE TISSAGE DE LYON (fabricant)|écarté|entité non personnelle
FERNAND-DUBOIS EMILE|12|1|1||01510002666|FERNAND-DUBOIS Emile (?)|à instruire|
THIEBAULT JEAN-BAPTISTE|12|1|1||M0537008556|Thiébault Jean-Baptiste (1809-1839) (graveur, attribué à)|à instruire|
PLANTARD ANDRE|12|1|1||50190082873|PLANTARD André (?)|à instruire|
RAPIN HENRI|12|1|1||50190082873|RAPIN Henri (?)|à instruire|
KIRSTEIN JOHANN JACOB|12|1|1||00130157680|KIRSTEIN Johann Jacob (dessinateur, orfèvre, attribué à)|à instruire|
LEGROS|12|1|1||M0537027014|LEGROS (dessinateur, attribué à)|à instruire|
MARCION PIERRE BENOIT|12|1|1||50520012202|Marcion Pierre Benoît (1769-1840) (attribué à)|à instruire|
LE PRINCE JEAN-BAPTISTE|11|4|1||000DE021405|LE PRINCE Jean-Baptiste (attribué)|à instruire|
BASSANO JACOPO|11|7|1||000DE023180|BASSANO Jacopo (dit, attribué)|à instruire|
COURBET GUSTAVE|11|9|1||000PE000682|Courbet Gustave (1819-1877) (genre de)|à instruire|
HUYSMANS CORNELIS|11|7|1||000PE003374|HUYSMANS Cornelis (atelier)|à instruire|
ISABEY JEAN-BAPTISTE|11|8|1||000DE010012|Isabey Jean-Baptiste (1767-1855) (attribué)|à instruire|
GRANET FRANCOIS MARIUS|11|8|1||000DE006781|GRANET François Marius (atelier)|à instruire|
VAN DER MEULEN ADAM FRANS|11|5|1||000PE006509|VAN DER MEULEN Adam Frans (école)|à instruire|
LA FOSSE CHARLES DE|11|6|1||000PE006559|LA FOSSE Charles de (attribué)|à instruire|
GROS ANTOINE JEAN BARON|11|7|1||000PE011319|GROS Antoine Jean Baron (attribué)|à instruire|
SOLIMENA FRANCESCO|11|7|1||000PE014301|SOLIMENA Francesco (attribué à)|à instruire|
BOUT PIETER|11|5|1||000PE017050|BOUT Pieter (attribué)|à instruire|
PILON GERMAIN|11|2|1||000SC002177|PILON Germain (atelier)|à instruire|
DONATELLO|11|2|1||000SC002771|DONATELLO (école)|à instruire|
MANUFACTURE DE SEVRES|11|3|1||000SC029593|manufacture de Sèvres (manufacture, ?)|écarté|entité non personnelle
MEULEN ADAM FRANS VAN DER|11|4|1||06380000294|MEULEN Adam Frans van der (atelier)|à instruire|
PROCACCINI GIULIO CESARE|11|3|1||10500000177|Procaccini Giulio Cesare (1574-1625) (atelier)|à instruire|
CRESTI DOMENICO|11|1|1||50350201279|CRESTI Domenico (attribué à)|à instruire|
MARCHETTI MARCO|11|1|1||50350200456|MARCHETTI Marco (entourage)|à instruire|
VISCHER PETER LE JEUNE|11|1|1||50350108649|VISCHER Peter le Jeune (manière de)|à instruire|
ROTTENHAMMER HANS I|11|1|1||50350109370|ROTTENHAMMER Hans I (manière de)|à instruire|
ECHARD CHARLES|11|1|1||50350015326|ECHARD Charles (attribué à)|à instruire|
PARROCEL JOSEPH|11|4|1||50350209555|Parrocel Joseph (1646-1704) (attribué à)|à instruire|
VOS MARTEN DE|11|1|1||50350109190|VOS Marten de (attribué à)|à instruire|
BELLANGE HENRI|11|1|1||50170000058|BELLANGE Henri (attribué à)|à instruire|
TALBOT MARIE|11|4|1||02300002521|TALBOT Marie (attribué à, dite, potier)|à instruire|
PINOT CHARLES|11|1|1|Charles François Pinot|M0537007970|PINOT Charles (dessinateur, attribué à)|retenu|Charles François Pinot
ASSELIN PERE|11|1|1||50190039347|ASSELIN Père (dit) (attribué à)|à instruire|
VANSON JEAN-BAPTISTE|11|1|1||M0537003420|VANSON Jean-Baptiste (graveur, attribué à)|à instruire|
IMAGERIE PELLERIN|11|1|1||M0537026790|Imagerie Pellerin (imprimeur, attribué à)|écarté|raison sociale (imagerie d'Épinal), pas une personne
LUTZELBURGER HANS|11|1|1||02860007539|LUTZELBURGER Hans (graveur, ?)|à instruire|
SPECKLIN VEIT RUDOLPH|11|1|1||02860007539|SPECKLIN Veit Rudolph (graveur, ?)|à instruire|
WEIDITZ HANS I|11|1|1||02860007539|WEIDITZ Hans I (graveur, ?)|à instruire|
ETABLISSEMENTS BOSSOT|11|1|1||M0170004636|ETABLISSEMENTS BOSSOT (fabricant) (?)|à instruire|
MARVILLE JEAN DE|11|1|1||01370009299|Marville Jean de (actif 1366-1389) (auteur, atelier)|à instruire|
KREMER EUGENE|11|1|1||M0528022059|KREMER Eugène (attribué à, décorateur)|à instruire|
CLAUSTRE MARTIN|11|1|1||09940111427|Claustre Martin (attribué à)|à instruire|
IMPRIMEUR-EDITEUR F. CHAMPENOIS|11|1|1||01720027263|Imprimeur-Éditeur F. Champenois (exécution, imprimeur, éditeur, lithographe, attribué à)|écarté|entité non personnelle
FLEURET|10|2|1||5002E001341|Fleuret (?, graveur)|à instruire|
MALLAY AIMOND GILBERT|10|1|1||000DE023347|MALLAY AIMOND GILBERT (attribué)|à instruire|
SCHITZ JULES NICOLAS|10|1|1||00000081747|SCHITZ Jules Nicolas (attribué)|à instruire|
COYPEL CHARLES ANTOINE|10|2|1||000PE000743|COYPEL Charles Antoine (atelier)|à instruire|
DUMONSTIER DANIEL|10|4|1||000PE001089|DUMONSTIER Daniel (attribué)|à instruire|
INGRES JEAN AUGUSTE DOMINIQUE|10|2|1|Ingres|000PE001570|INGRES Jean Auguste Dominique (atelier)|retenu|Ingres
DROUAIS FRANCOIS HUBERT|10|4|1||000PE006534|Drouais François Hubert (1727-1775) (attribué)|à instruire|
NATTIER JEAN MARC|10|5|1||000PE007404|NATTIER Jean Marc (attribué)|à instruire|
HOLBEIN HANS LE JEUNE|10|4|1||000PE013028|HOLBEIN Hans Le Jeune (école)|à instruire|
LE TITIEN|10|4|1|Titien|000PE027124|LE TITIEN (dit, atelier)|retenu|Titien
GOYEN JAN VAN|10|5|1||00000062899|GOYEN Jan Van (manière de)|à instruire|
BERNINI GIAN LORENZO|10|2|1||00000069117|BERNINI Gian Lorenzo (attribué)|à instruire|
VOET JACOB FERDINAND|10|3|1||00000069049|VOET Jacob Ferdinand (?)|à instruire|
BADIOU DE LA TRONCHERE JACQUES JOSEPH EMILE|10|1|1||000SC026244|BADIOU DE LA TRONCHERE Jacques Joseph Emile (attribué)|à instruire|
PALISSY BERNARD|10|3|1||07120001033|PALISSY Bernard (attribué)|à instruire|
BREBIETTE PIERRE|10|5|1||50510016754|BREBIETTE Pierre (attribué)|à instruire|
CHAPERON NICOLAS|10|3|1||50510016472|CHAPERON Nicolas (attribué)|à instruire|
MANUFACTURE DE MONTEREAU|10|2|1||50160001220|manufacture de Montereau (?, manufacture)|écarté|entité non personnelle
CASOLANI ALESSANDRO|10|2|1||50350201400|CASOLANI Alessandro (attribué à)|à instruire|
SWANEVELT HERMAN VAN|10|3|1||50350107067|SWANEVELT Herman van (manière de)|à instruire|
SALVIATI FRANCESCO|10|3|1||50350003669|SALVIATI Francesco (attribué à)|à instruire|
BECCAFUMI DOMENICO|10|1|1||50350102083|BECCAFUMI Domenico (attribué à)|à instruire|
ALLORI ALESSANDRO|10|6|1||50350230336|ALLORI Alessandro (attribué à)|à instruire|
LA FAGE RAYMOND|10|2|1||50350213220|LA FAGE Raymond (attribué à)|à instruire|
GENOELS ABRAHAM II|10|1|1||50350106387|GENOELS Abraham II (genre de)|à instruire|
BREENBERGH BARTHOLOMAUS|10|5|1||50350107347|Breenbergh Bartholomäus (1598-1657) (manière de)|à instruire|
BLOEMAERT ABRAHAM|10|2|1||50350107266|BLOEMAERT Abraham (manière de)|à instruire|
WAEL CORNELIS DE|10|4|1||50350106719|WAEL Cornelis de (genre de)|à instruire|
ASSELIJN JAN|10|4|1||50350030609|ASSELIJN Jan (attribué à)|à instruire|
AMMAN JOST|10|1|1||50350108438|AMMAN Jost (attribué à)|à instruire|
MANUFACTURE DE DELFT|10|2|1||M0805000936|manufacture de Delft (attribué à) (auteur du modèle, auteur du décor)|écarté|entité non personnelle
BUSSIERE GASTON|10|1|1||01720003688|BUSSIERE Gaston (attribué à)|à instruire|
LA HUERTA JEAN DE|10|3|1||M0332001938|LA HUERTA Jean de (atelier, sculpteur)|à instruire|
NEYRET FRERES|10|1|1||10230000748|Neyret Frères (fabricant, attribué à)|à instruire|
MARCOU|10|1|1||50190037001|MARCOU (attribué à)|à instruire|
SLUTER CLAUS|10|1|1||01370008177|SLUTER Claus (attribué à)|à instruire|
CAMPES GAUTHIER DE|10|1|1||03120042673|CAMPES Gauthier de (attribué à, cartonnier)|à instruire|
IMPRIMERIE BASTER & VIEILLEMARD|10|1|1||M0537073301|Imprimerie Baster & Vieillemard (Paris) (imprimeur, attribué à)|écarté|entité non personnelle
