strate,reference,lien_pop,type_passage_predit,ancienne_attribution_brut,auteur_actuel_brut,ancien_nom_extrait,anciens_noms_reconnus,annee_revision,titre,musee,ville,verdict,commentaire
piège : ancien label déjà « d'après » (exclu du comptage noms),50350001346,https://pop.culture.gouv.fr/notice/joconde/50350001346,Vers une attribution prudente,"Copie d'après, BUONARROTI Michelangelo",BUONARROTI Michelangelo (école);anonyme,"Copie d'après, BUONARROTI Michelangelo",michel-ange,,Deux figures de guerriers nus,musée du Louvre,Paris,faux passage,"Ancien état copie d'après Michel-Ange → école de Michel-Ange ; plutôt changement de statut, pas 'vers une attribution prudente' simple."
piège : ancien label déjà « d'après » (exclu du comptage noms),50350112116,https://pop.culture.gouv.fr/notice/joconde/50350112116,Vers une copie,"Copie d'après, SANTI Raffaello",ATELIER DE RAPHAEL (d'après);anonyme,"Copie d'après, SANTI Raffaello",,,Dieu séparant la lumière des ténèbres,musée du Louvre,Paris,à exclure,Ancien état copie d'après Raphaël → atelier de Raphaël d'après ; cas trop proche/composite pour galerie V1.
contrôle : direction inverse (anonyme → un nom),50350103912,https://pop.culture.gouv.fr/notice/joconde/50350103912,Vers une attribution prudente,ancienne attribution : anonyme italien XVIIe s,Zuccaro Federico (1540?-1609) (école),,,,"Religieux agenouillé, tourné vers la droite",musée du Louvre,Paris,OK,Direction inverse claire : ancien anonyme italien → école de Zuccaro ; bon cas pour équilibrer le récit.
contrôle : direction inverse (anonyme → un nom),50350104811,https://pop.culture.gouv.fr/notice/joconde/50350104811,Vers un autre nom,anciennes attributions : ANONYME ITALIEN XVIIe s ; BACCI Pietro,SALIMBENI Ventura,,,,Adoration des Bergers,musée du Louvre,Paris,à exclure,"Ancienne chaîne anonyme + Bacci ; trop composite pour une carte simple, même si le passage actuel vers Salimbeni est lisible."
contrôle : direction inverse (anonyme → un nom),50350203422,https://pop.culture.gouv.fr/notice/joconde/50350203422,Vers un autre nom,ancienne attribution : ANONYME ITALIEN fin XVIIe s,Calandrucci Giacinto (1646-1707),,,,Trois têtes d'enfants dont deux avec des ailes,musée du Louvre,Paris,OK,Direction inverse claire : ancien anonyme italien → Calandrucci.
contrôle : direction inverse (anonyme → un nom),50350201957,https://pop.culture.gouv.fr/notice/joconde/50350201957,Vers un autre nom,anciennes attributions : ANONYME ITALIEN fin XVIe s ; MUZIANO Girolamo,MACCHIETTI Girolamo,,,,"Jeune homme nu, agenouillé, tourné vers la droite, implorant",musée du Louvre,Paris,à exclure,Ancienne chaîne anonyme + Muziano ; trop composite pour la galerie V1.
contrôle : direction inverse (anonyme → un nom),50350003616,https://pop.culture.gouv.fr/notice/joconde/50350003616,Vers une attribution prudente,anciennes attributions : ANONYME FLORENTIN XVIe s ; copie d'après BUONARROTI Michelangelo,ECOLE DE PRIMATICCIO;ECOLE DE FONTAINEBLEAU,,michel-ange,,Homme nu attaché à un arbre,musée du Louvre,Paris,à exclure,Ancienne chaîne anonyme + copie d'après Michel-Ange → écoles ; cas intéressant mais trop composite pour une carte simple.
contrôle : direction inverse (anonyme → un nom),50350103063,https://pop.culture.gouv.fr/notice/joconde/50350103063,Vers un autre nom,ancienne attribution : ANONYME ITALIEN XVIIe s,AMATO Giacomo,,,,Façade de Saint-André du Quirinal à Rome,musée du Louvre,Paris,OK,Direction inverse claire : ancien anonyme italien → Amato.
contrôle : direction inverse (anonyme → un nom),50350108833,https://pop.culture.gouv.fr/notice/joconde/50350108833,Vers un autre nom,ancienne attribution : ANONYME ALLEMAND XVe s,MAITRE S N,,,,"La Vierge, debout, portant l'Enfant Jésus",musée du Louvre,Paris,OK,Direction inverse claire : ancien anonyme allemand → Maître S N ; cas lisible.
contrôle : direction inverse (anonyme → un nom),50350102639,https://pop.culture.gouv.fr/notice/joconde/50350102639,Vers une attribution prudente,ancienne attribution : ANONYME ITALIEN XVIIe s,CARRACCI Annibale (attribué à),,,,"Figure d'homme nu, tenant un objet dans les bras",musée du Louvre,Paris,OK,Direction inverse claire : ancien anonyme italien → Carracci attribué à ; bon cas de précision prudente.
